epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,4747.11,0.45217,0.2539,0.90695,0.98895,0.99292,0.99456,0.92893,0.46641,0.20553,0.91192,0.0007526,0.0007526,0.0007526
65,4814.09,0.45451,0.2532,0.91261,0.99142,0.99363,0.99435,0.9333,0.45643,0.20341,0.91385,0.0007328,0.0007328,0.0007328
66,4881.38,0.44745,0.24812,0.90681,0.98875,0.9956,0.99457,0.9312,0.45734,0.20475,0.90609,0.000713,0.000713,0.000713
67,4955.9,0.44481,0.2513,0.90532,0.99213,0.98207,0.99378,0.93196,0.46159,0.20551,0.91044,0.0006932,0.0006932,0.0006932
68,5032.47,0.43494,0.24168,0.90006,0.98593,0.99363,0.99465,0.93458,0.45803,0.20163,0.90475,0.0006734,0.0006734,0.0006734
69,5109.17,0.43388,0.24363,0.90458,0.99008,0.98937,0.99442,0.93322,0.45492,0.20567,0.90724,0.0006536,0.0006536,0.0006536
70,5185.56,0.43238,0.24148,0.90204,0.98739,0.99292,0.99451,0.93638,0.44741,0.20106,0.90842,0.0006338,0.0006338,0.0006338
71,5262.12,0.4269,0.23804,0.89982,0.98734,0.99427,0.99443,0.9339,0.45035,0.19764,0.90882,0.000614,0.000614,0.000614
72,5338.72,0.42172,0.23675,0.89525,0.99183,0.99008,0.99462,0.93871,0.43594,0.19529,0.89946,0.0005942,0.0005942,0.0005942
73,5415.85,0.41896,0.23415,0.89706,0.99291,0.99239,0.99411,0.93641,0.43609,0.19338,0.90624,0.0005744,0.0005744,0.0005744
74,5492.36,0.41728,0.23455,0.89681,0.98768,0.99221,0.99435,0.94022,0.43498,0.19677,0.90241,0.0005546,0.0005546,0.0005546
75,5568.64,0.40911,0.23107,0.88932,0.98872,0.99361,0.99376,0.93641,0.43766,0.19854,0.90395,0.0005348,0.0005348,0.0005348
76,5645.22,0.40302,0.22513,0.88754,0.99145,0.98527,0.99432,0.94009,0.43201,0.19776,0.89794,0.000515,0.000515,0.000515
77,5721.71,0.40573,0.228,0.88857,0.9908,0.99155,0.99433,0.93724,0.43996,0.19544,0.90298,0.0004952,0.0004952,0.0004952
78,5798.42,0.40374,0.2272,0.89117,0.99069,0.99292,0.99395,0.94073,0.42811,0.19464,0.89811,0.0004754,0.0004754,0.0004754
79,5874.81,0.39417,0.22218,0.88477,0.98979,0.99363,0.99422,0.93992,0.43095,0.19384,0.90008,0.0004556,0.0004556,0.0004556
80,5951.5,0.38992,0.22057,0.88342,0.99079,0.9901,0.99402,0.94012,0.43419,0.19257,0.90384,0.0004358,0.0004358,0.0004358
81,6028.84,0.39559,0.2216,0.88621,0.98939,0.99066,0.99438,0.94202,0.42448,0.19724,0.89423,0.000416,0.000416,0.000416
82,6105.6,0.3877,0.21726,0.88142,0.98899,0.99292,0.99449,0.94235,0.42889,0.19432,0.89658,0.0003962,0.0003962,0.0003962
83,6183.52,0.38479,0.21634,0.88013,0.98928,0.9915,0.99463,0.94264,0.42842,0.19384,0.89775,0.0003764,0.0003764,0.0003764
84,6260.11,0.38322,0.21333,0.88197,0.98874,0.9947,0.99433,0.9459,0.41522,0.19287,0.88732,0.0003566,0.0003566,0.0003566
85,6336.79,0.37351,0.20898,0.87622,0.98986,0.99363,0.99407,0.94389,0.41938,0.19235,0.8895,0.0003368,0.0003368,0.0003368
86,6413.38,0.37549,0.2096,0.87569,0.9894,0.99195,0.99442,0.94413,0.41987,0.19009,0.89417,0.000317,0.000317,0.000317
87,6490.11,0.37253,0.20645,0.87779,0.9887,0.99139,0.9945,0.9444,0.41385,0.19672,0.89094,0.0002972,0.0002972,0.0002972
88,6566.63,0.37109,0.20949,0.87743,0.98874,0.99496,0.99434,0.94334,0.41741,0.1915,0.89522,0.0002774,0.0002774,0.0002774
89,6642.96,0.3726,0.20577,0.87652,0.99008,0.98956,0.99452,0.94511,0.41109,0.19057,0.89222,0.0002576,0.0002576,0.0002576
90,6719.78,0.35964,0.20141,0.8726,0.98871,0.9921,0.99463,0.94482,0.41028,0.1911,0.89322,0.0002378,0.0002378,0.0002378
91,6809.27,0.3406,0.17638,0.85164,0.99219,0.99002,0.99427,0.9434,0.41477,0.19858,0.89517,0.000218,0.000218,0.000218
92,6886.1,0.32538,0.16748,0.84525,0.98983,0.99292,0.9945,0.94394,0.41435,0.19629,0.89585,0.0001982,0.0001982,0.0001982
93,6962.28,0.3216,0.16602,0.84542,0.9922,0.99066,0.99473,0.94418,0.4129,0.18674,0.89454,0.0001784,0.0001784,0.0001784
94,7038.75,0.31416,0.16222,0.84251,0.9886,0.99221,0.99469,0.94444,0.40844,0.18433,0.89209,0.0001586,0.0001586,0.0001586
95,7115.25,0.31215,0.16277,0.84141,0.98715,0.99363,0.99453,0.94564,0.40652,0.18937,0.89293,0.0001388,0.0001388,0.0001388
96,7191.67,0.30859,0.15977,0.83878,0.98871,0.9919,0.99451,0.94656,0.40526,0.18934,0.89174,0.000119,0.000119,0.000119
97,7268.17,0.30729,0.15799,0.84244,0.98872,0.99336,0.99447,0.94681,0.40182,0.18406,0.88953,9.92e-05,9.92e-05,9.92e-05
98,7344.31,0.302,0.15514,0.8349,0.9901,0.99197,0.99423,0.9472,0.40173,0.18624,0.89048,7.94e-05,7.94e-05,7.94e-05
99,7425.54,0.29981,0.15457,0.8349,0.98869,0.99063,0.99429,0.94829,0.4012,0.18499,0.88985,5.96e-05,5.96e-05,5.96e-05
100,7510.6,0.29716,0.15235,0.83382,0.99148,0.98957,0.99429,0.94733,0.40176,0.18509,0.89261,3.98e-05,3.98e-05,3.98e-05
