epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,7450,0.51068,0.28062,0.95809,0.99075,0.98601,0.99395,0.91167,0.50056,0.22523,0.94743,0.0009506,0.0009506,0.0009506
55,7587.89,0.51869,0.28562,0.95801,0.98383,0.99112,0.99357,0.90832,0.49859,0.23282,0.94257,0.0009308,0.0009308,0.0009308
56,7726.71,0.51349,0.28591,0.96083,0.99007,0.98825,0.99356,0.91311,0.49303,0.22141,0.94392,0.000911,0.000911,0.000911
57,7865.59,0.50727,0.27884,0.95701,0.98725,0.9915,0.99399,0.91405,0.49223,0.2277,0.94104,0.0008912,0.0008912,0.0008912
58,8003.8,0.50097,0.27433,0.95353,0.99142,0.98246,0.99386,0.91153,0.50226,0.23002,0.9519,0.0008714,0.0008714,0.0008714
59,8141.94,0.50427,0.27676,0.95336,0.98662,0.99205,0.99421,0.91841,0.47724,0.21813,0.93014,0.0008516,0.0008516,0.0008516
60,8278.82,0.49351,0.27212,0.94631,0.98452,0.99107,0.99391,0.91883,0.48701,0.21773,0.94203,0.0008318,0.0008318,0.0008318
61,8416.03,0.4902,0.26669,0.94509,0.98735,0.98796,0.99412,0.92193,0.47976,0.21689,0.93853,0.000812,0.000812,0.000812
62,8553.63,0.49085,0.26876,0.94679,0.98351,0.98796,0.99351,0.92229,0.47164,0.21799,0.93632,0.0007922,0.0007922,0.0007922
63,8690.74,0.48301,0.26776,0.94248,0.98625,0.98938,0.99369,0.91721,0.47205,0.21412,0.93539,0.0007724,0.0007724,0.0007724
64,8827.84,0.48046,0.26278,0.94249,0.98661,0.98229,0.99334,0.92212,0.48054,0.22108,0.93402,0.0007526,0.0007526,0.0007526
65,8964.68,0.47746,0.26083,0.94013,0.98936,0.98736,0.9936,0.92013,0.4753,0.21365,0.93411,0.0007328,0.0007328,0.0007328
66,9101.55,0.46744,0.26001,0.93471,0.98641,0.98796,0.99351,0.92214,0.46929,0.21258,0.93375,0.000713,0.000713,0.000713
67,9239.1,0.46794,0.25539,0.93669,0.98796,0.98794,0.9936,0.92495,0.46989,0.2146,0.93356,0.0006932,0.0006932,0.0006932
68,9376.29,0.45984,0.25568,0.93315,0.98798,0.98985,0.99363,0.92294,0.46754,0.21329,0.94023,0.0006734,0.0006734,0.0006734
69,9513.56,0.45468,0.24973,0.92533,0.98538,0.99079,0.99323,0.92339,0.46041,0.21402,0.93603,0.0006536,0.0006536,0.0006536
70,9650.61,0.45262,0.24949,0.93124,0.98313,0.99054,0.99325,0.92476,0.46727,0.21539,0.94132,0.0006338,0.0006338,0.0006338
71,9787.36,0.44299,0.24466,0.92632,0.98589,0.98988,0.99387,0.92411,0.46132,0.2102,0.9356,0.000614,0.000614,0.000614
72,9924.66,0.44308,0.24543,0.92576,0.98528,0.98938,0.99366,0.92915,0.45995,0.21306,0.93671,0.0005942,0.0005942,0.0005942
73,10062.8,0.43682,0.2413,0.92116,0.98861,0.98867,0.99399,0.92814,0.44514,0.20582,0.92655,0.0005744,0.0005744,0.0005744
74,10201.2,0.43702,0.24047,0.92309,0.98863,0.98515,0.99373,0.92045,0.44718,0.209,0.93041,0.0005546,0.0005546,0.0005546
75,10339.6,0.43846,0.23935,0.92252,0.98828,0.98584,0.99363,0.9275,0.4433,0.20868,0.92689,0.0005348,0.0005348,0.0005348
76,10477.6,0.42723,0.23711,0.91643,0.99007,0.98893,0.99375,0.93277,0.44237,0.20482,0.92802,0.000515,0.000515,0.000515
77,10616.5,0.42667,0.23395,0.91961,0.98899,0.98796,0.99363,0.93163,0.44268,0.20683,0.92965,0.0004952,0.0004952,0.0004952
78,10754.7,0.42026,0.22977,0.91519,0.98935,0.98656,0.99353,0.93271,0.43959,0.19869,0.93109,0.0004754,0.0004754,0.0004754
79,10892.9,0.41909,0.22789,0.9159,0.98935,0.98722,0.99341,0.93086,0.43481,0.20048,0.93157,0.0004556,0.0004556,0.0004556
80,11031.5,0.41427,0.22747,0.91232,0.98956,0.99008,0.99381,0.93204,0.4283,0.19706,0.92816,0.0004358,0.0004358,0.0004358
81,11170.2,0.41326,0.22512,0.9126,0.98799,0.99032,0.99397,0.93638,0.42615,0.19721,0.92683,0.000416,0.000416,0.000416
82,11308.6,0.40741,0.22353,0.90892,0.99008,0.98935,0.99406,0.93487,0.423,0.19649,0.9271,0.0003962,0.0003962,0.0003962
83,11447.6,0.40426,0.21845,0.90689,0.99147,0.98726,0.99367,0.93501,0.42588,0.19578,0.92996,0.0003764,0.0003764,0.0003764
84,11585.5,0.40495,0.22035,0.90445,0.99043,0.98654,0.99365,0.93312,0.42937,0.1979,0.93029,0.0003566,0.0003566,0.0003566
85,11723,0.39745,0.21592,0.90376,0.98973,0.98796,0.9935,0.93525,0.4176,0.19319,0.92911,0.0003368,0.0003368,0.0003368
86,11859.9,0.39281,0.2152,0.89853,0.99096,0.99008,0.99382,0.93696,0.41909,0.19193,0.92761,0.000317,0.000317,0.000317
87,11997,0.39076,0.2158,0.90439,0.99048,0.99079,0.99356,0.93631,0.41482,0.19171,0.92663,0.0002972,0.0002972,0.0002972
88,12134.4,0.38886,0.21238,0.89839,0.98731,0.99201,0.99346,0.93698,0.41013,0.19109,0.92564,0.0002774,0.0002774,0.0002774
89,12271.2,0.38146,0.21021,0.89816,0.98856,0.9915,0.9936,0.93988,0.41047,0.1948,0.92583,0.0002576,0.0002576,0.0002576
90,12408.8,0.37442,0.205,0.89102,0.98939,0.99067,0.99383,0.93817,0.41406,0.1947,0.92716,0.0002378,0.0002378,0.0002378
91,12557.7,0.35675,0.17734,0.8868,0.98939,0.99036,0.99384,0.93838,0.42134,0.198,0.92837,0.000218,0.000218,0.000218
92,12696.3,0.3463,0.17255,0.87914,0.98759,0.9915,0.99387,0.93879,0.42087,0.19334,0.9276,0.0001982,0.0001982,0.0001982
93,12835.2,0.34364,0.17054,0.8803,0.98872,0.99316,0.99357,0.93941,0.41468,0.19155,0.92489,0.0001784,0.0001784,0.0001784
94,12973.2,0.33669,0.16812,0.8766,0.99122,0.9915,0.99377,0.94087,0.41272,0.19191,0.92447,0.0001586,0.0001586,0.0001586
95,13111.9,0.33727,0.16967,0.87444,0.99218,0.98855,0.99355,0.94185,0.41075,0.19129,0.92313,0.0001388,0.0001388,0.0001388
96,13250,0.33206,0.16718,0.87076,0.99177,0.98938,0.99372,0.94343,0.41065,0.19263,0.92385,0.000119,0.000119,0.000119
97,13388,0.33079,0.16517,0.87472,0.98939,0.9909,0.99383,0.94472,0.40575,0.19051,0.92194,9.92e-05,9.92e-05,9.92e-05
98,13526.5,0.32277,0.16011,0.86714,0.98928,0.99221,0.99386,0.94537,0.40381,0.19091,0.92027,7.94e-05,7.94e-05,7.94e-05
99,13665,0.32297,0.16093,0.86594,0.98911,0.99221,0.99376,0.94513,0.40342,0.19014,0.92023,5.96e-05,5.96e-05,5.96e-05
100,13803.3,0.31853,0.16014,0.86546,0.99173,0.99079,0.99376,0.94558,0.40157,0.19165,0.92058,3.98e-05,3.98e-05,3.98e-05
