epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,5519.78,0.4903,0.26798,0.94725,0.98385,0.99245,0.99447,0.91872,0.48138,0.21741,0.94486,0.0007724,0.0007724,0.0007724
64,5607.09,0.49305,0.26569,0.94972,0.98776,0.98725,0.99414,0.9226,0.47692,0.22511,0.9371,0.0007526,0.0007526,0.0007526
65,5695.55,0.4894,0.27017,0.94715,0.98941,0.98867,0.99406,0.91975,0.47864,0.21842,0.94455,0.0007328,0.0007328,0.0007328
66,5781.97,0.48243,0.26591,0.94245,0.99078,0.98915,0.99432,0.92369,0.46626,0.21398,0.93328,0.000713,0.000713,0.000713
67,5868.64,0.47743,0.25834,0.94072,0.98389,0.9915,0.99437,0.92627,0.4677,0.21282,0.93595,0.0006932,0.0006932,0.0006932
68,5955.66,0.46689,0.25812,0.93589,0.98869,0.99046,0.99443,0.9257,0.46759,0.20404,0.93807,0.0006734,0.0006734,0.0006734
69,6043.25,0.46338,0.25083,0.93008,0.98461,0.9915,0.99414,0.91985,0.4636,0.21039,0.94493,0.0006536,0.0006536,0.0006536
70,6129.81,0.46554,0.25331,0.93647,0.98588,0.98866,0.99367,0.92362,0.47212,0.21077,0.94285,0.0006338,0.0006338,0.0006338
71,6216.15,0.45932,0.24909,0.93309,0.98723,0.98725,0.99398,0.91342,0.47033,0.21378,0.93894,0.000614,0.000614,0.000614
72,6302.66,0.45625,0.24828,0.93109,0.98588,0.98881,0.99415,0.92602,0.46159,0.2053,0.93609,0.0005942,0.0005942,0.0005942
73,6390.77,0.45352,0.24716,0.92835,0.9845,0.9899,0.99398,0.92542,0.46054,0.20746,0.94315,0.0005744,0.0005744,0.0005744
74,6477.93,0.44894,0.24536,0.92924,0.99006,0.98801,0.99435,0.92791,0.46322,0.20631,0.94081,0.0005546,0.0005546,0.0005546
75,6564.41,0.45113,0.24436,0.92747,0.98682,0.99221,0.9943,0.92529,0.45608,0.20855,0.93687,0.0005348,0.0005348,0.0005348
76,6651.4,0.44291,0.24208,0.92267,0.98385,0.99008,0.99408,0.93104,0.45249,0.20586,0.93277,0.000515,0.000515,0.000515
77,6739.81,0.43755,0.24285,0.92412,0.99187,0.98371,0.99442,0.92732,0.45624,0.20709,0.93671,0.0004952,0.0004952,0.0004952
78,6826.1,0.43368,0.23687,0.92101,0.98866,0.98827,0.99445,0.92964,0.44898,0.2054,0.9377,0.0004754,0.0004754,0.0004754
79,6912.76,0.43319,0.23537,0.92094,0.9889,0.99008,0.99442,0.91658,0.45306,0.1978,0.93945,0.0004556,0.0004556,0.0004556
80,6998.83,0.42763,0.23218,0.91701,0.98374,0.99221,0.99441,0.93144,0.44698,0.20309,0.9336,0.0004358,0.0004358,0.0004358
81,7087.35,0.42479,0.23168,0.91692,0.98936,0.98755,0.99442,0.93481,0.43945,0.19831,0.93275,0.000416,0.000416,0.000416
82,7174.62,0.42462,0.23131,0.91746,0.99067,0.98867,0.99447,0.92974,0.43682,0.19633,0.93172,0.0003962,0.0003962,0.0003962
83,7261.39,0.41988,0.22725,0.91496,0.98658,0.9915,0.99448,0.9338,0.43554,0.19434,0.93339,0.0003764,0.0003764,0.0003764
84,7348.15,0.41943,0.22878,0.9117,0.98927,0.99221,0.99438,0.9352,0.43118,0.19531,0.92881,0.0003566,0.0003566,0.0003566
85,7436.42,0.41455,0.22575,0.911,0.9888,0.99008,0.99419,0.92894,0.43954,0.19751,0.93302,0.0003368,0.0003368,0.0003368
86,7524.03,0.40794,0.22276,0.90474,0.99005,0.98938,0.99408,0.93201,0.43365,0.19449,0.93043,0.000317,0.000317,0.000317
87,7610.72,0.40265,0.21967,0.91083,0.98984,0.99079,0.99411,0.93022,0.43005,0.19339,0.93381,0.0002972,0.0002972,0.0002972
88,7697.7,0.39997,0.21841,0.90273,0.98709,0.9915,0.99421,0.93344,0.42438,0.19574,0.92793,0.0002774,0.0002774,0.0002774
89,7785.61,0.39799,0.21795,0.90624,0.98677,0.98938,0.99445,0.93617,0.42484,0.19442,0.9306,0.0002576,0.0002576,0.0002576
90,7874.7,0.38955,0.2131,0.89659,0.98862,0.99079,0.99441,0.93388,0.42387,0.19247,0.92781,0.0002378,0.0002378,0.0002378
91,7972.28,0.37649,0.18362,0.89694,0.98923,0.99079,0.99405,0.93534,0.43424,0.20468,0.93285,0.000218,0.000218,0.000218
92,8059.28,0.36645,0.18273,0.8885,0.9885,0.9915,0.9943,0.93907,0.42787,0.19929,0.93212,0.0001982,0.0001982,0.0001982
93,8146.42,0.35655,0.1774,0.88679,0.98807,0.9915,0.99421,0.93992,0.42529,0.20091,0.93313,0.0001784,0.0001784,0.0001784
94,8234.65,0.35481,0.17665,0.88647,0.9894,0.99133,0.99409,0.9408,0.42363,0.20296,0.93063,0.0001586,0.0001586,0.0001586
95,8321.3,0.35264,0.17646,0.88294,0.98847,0.99221,0.99416,0.9419,0.42314,0.19927,0.93176,0.0001388,0.0001388,0.0001388
96,8407.99,0.34756,0.17203,0.87873,0.98806,0.98938,0.99437,0.94159,0.42311,0.19698,0.92833,0.000119,0.000119,0.000119
97,8496.21,0.34499,0.17085,0.88235,0.99007,0.98901,0.99431,0.94125,0.42157,0.19669,0.92926,9.92e-05,9.92e-05,9.92e-05
98,8583.42,0.33817,0.16574,0.875,0.99063,0.98867,0.99451,0.94239,0.4178,0.19234,0.92785,7.94e-05,7.94e-05,7.94e-05
99,8669.55,0.33606,0.16483,0.87397,0.98837,0.9915,0.9944,0.94274,0.41414,0.19127,0.9261,5.96e-05,5.96e-05,5.96e-05
100,8756.23,0.33174,0.16384,0.87169,0.98871,0.9919,0.99429,0.94351,0.41299,0.1889,0.92569,3.98e-05,3.98e-05,3.98e-05
